iter	Passed	Remaining
932	4597	330
933	4603	325
934	4610	320
935	4615	315
936	4622	310
937	4629	305
938	4635	301
939	4640	296
940	4646	291
941	4651	286
942	4657	281
943	4662	276
944	4667	271
945	4673	266
946	4678	261
947	4683	256
948	4689	252
949	4694	247
950	4699	242
951	4704	237
952	4710	232
953	4715	227
954	4720	222
955	4726	217
956	4731	212
957	4735	207
958	4741	202
959	4746	197
960	4751	192
961	4757	187
962	4762	182
963	4767	178
964	4772	173
965	4777	168
966	4782	163
967	4788	158
968	4793	153
969	4798	148
970	4803	143
971	4807	138
972	4812	133
973	4817	128
974	4823	123
975	4828	118
976	4833	113
977	4839	108
978	4843	103
979	4849	98
980	4853	94
981	4858	89
982	4863	84
983	4868	79
984	4873	74
985	4878	69
986	4883	64
987	4888	59
988	4893	54
989	4899	49
990	4904	44
991	4909	39
992	4914	34
993	4920	29
994	4924	24
995	4930	19
996	4934	14
997	4939	9
998	4944	4
999	4950	0
